,Release ID,Album,Year,Artist Name,Label
324,759795,1993,Anathema,Serenades,Peaceville
325,764150,2006,Tortoise,A Lazarus Taxon,Thrill Jockey
326,766943,1978,Peter Gabriel,Peter Gabriel,Charisma
327,773091,1993,Unrest (2),Perfect Teeth,4AD
328,776658,1985,Minutemen,3-Way Tie (For Last),SST Records
329,777042,2001,Erase Errata,Other Animals,Troubleman Unlimited
330,777186,2001,The Microphones,Blood,St. Ives
331,781638,2004,Hanne Hukkelberg,Little Things,Propeller Recordings
332,783249,2006,The Glove,Blue Sunshine,Rhino Records (2)
333,784768,1996,Violent Onsen Geisha,Nation Of Rhythm Slaves,Rail Recordings
334,786673,1993,Bailter Space,Robot World,Flying Nun Records
335,789354,2003,Songs: Ohia,The Magnolia Electric Co,Secretly Canadian
336,791127,1999,The Microphones,Don't Wake Me Up,K
337,793532,1998,Bedhead,Transaction De Novo,Trance Syndicate Records
338,796718,1996,Bedhead,The Dark Ages,Trance Syndicate Records
339,802113,1998,Bluetile Lounge,Half Cut,Smells Like Records
340,802120,1995,Bluetile Lounge,Lowercase,Summershine
341,802577,1997,Smog,Red Apple Falls,Drag City
342,805808,2006,Squarepusher,Hello Everything,Warp Records
343,807595,1982,The Clash,Combat Rock,CBS
344,807994,1984,XTC,The Big Express,Virgin
345,813603,1987,The Go-Betweens,Tallulah,Beggars Banquet
346,814945,1989,Neil Young,Eldorado,Reprise Records
347,818140,2004,Minus The Bear,They Make Beer Commercials Like This,Arena Rock
348,824162,1991,David Kilgour,Here Come The Cars,Flying Nun Records
349,825378,2005,Smog,A River Ain't Too Much To Love,Drag City
350,831253,2006,Joanna Newsom,Ys,Drag City
351,836162,1982,Talk Talk,The Party's Over,EMI
352,836229,1987,For Against,Echelons,Independent Project Records
353,843267,2006,Asylum Party,The Grey Years Vol. 1,Infrastition
354,851257,2006,Grouper,Wide,Free Porcupine Society
355,852378,2002,Neko Case,Blacklisted,Bloodshot Records
356,852834,2006,Max Richter,Songs From Before,130701
357,858706,1999,Jim O'Rourke,Eureka,Drag City
